date,downloads, data
2016-08-19,566657,3.38711
2016-08-20,290622,1.601
2016-08-21,327625,1.82036
2016-08-22,603185,3.82468
2016-08-23,600207,3.83038
2016-08-24,607452,3.84789
2016-08-25,611399,3.91011
2016-08-26,529443,3.35735
2016-08-27,261366,1.57372
2016-08-28,287185,1.69978
2016-08-29,567075,3.62428
2016-08-30,603925,3.90192
2016-08-31,598370,3.91832
2016-09-01,585953,3.83815
2016-09-02,499670,3.35753
2016-09-03,233123,1.59927
2016-09-04,245837,1.69635
2016-09-05,414770,2.84075
2016-09-06,572255,3.87823
2016-09-07,586015,3.91953
2016-09-08,587198,3.86963
2016-09-09,519621,3.4746
2016-09-10,280943,1.79091
2016-09-11,279247,1.78867
2016-09-12,552812,3.77523
2016-09-13,591519,3.9164
2016-09-14,563649,3.86257
2016-09-15,552826,3.8273
2016-09-16,513513,3.49745
2016-09-17,275253,1.81997
2016-09-18,290549,1.96334
2016-09-19,584180,4.07263
2016-09-20,618191,4.18588
2016-09-21,593590,4.11253
2016-09-22,585598,3.99877
2016-09-23,545802,3.60903
2016-09-24,284202,1.75713
2016-09-25,301440,1.89552
2016-09-26,616351,4.10077
2016-09-27,647533,4.22333
2016-09-28,747619,4.85711
2016-09-29,717829,4.60491
2016-09-30,630553,4.05648
2016-10-01,326814,1.91668
2016-10-02,315469,1.91337
2016-10-03,637724,4.22152
2016-10-04,663453,4.4046
2016-10-05,686437,4.50996
2016-10-06,685644,4.50486
2016-10-07,604656,4.01507
2016-10-08,319642,2.03104
2016-10-09,349102,2.1611
2016-10-10,662950,4.42924
2016-10-11,646149,4.32357
2016-10-12,170002,1.1309
2016-10-13,662129,4.47813
2016-10-14,662635,4.43042
2016-10-15,379906,2.39809
2016-10-16,335008,2.1516
2016-10-17,701198,4.63006
2016-10-18,735976,4.95699
2016-10-19,762898,5.0376
2016-10-20,757927,4.92306
2016-10-21,622954,4.12685
2016-10-22,339410,2.22517
2016-10-23,317154,2.11179
2016-10-24,712055,4.6794
2016-10-25,718151,4.89819
2016-10-26,704046,4.79452
2016-10-27,677068,4.64282
2016-10-28,630855,4.30844
2016-10-29,337370,2.31352
2016-10-30,337332,2.32681
2016-10-31,639707,4.41104
2016-11-01,670816,4.62688
2016-11-02,693865,4.84146
2016-11-03,761389,4.85672
2016-11-04,642718,4.42854
2016-11-05,318182,2.2152
2016-11-06,308081,2.17521
2016-11-07,652382,4.55124
2016-11-08,695455,4.90301
2016-11-09,687697,4.76817
2016-11-10,708580,4.96486
2016-11-11,630384,4.47725
2016-11-12,332461,2.42124
2016-11-13,328696,2.33663
2016-11-14,673771,4.71295
2016-11-15,737736,5.20369
2016-11-16,733203,5.20074
2016-11-17,721176,5.13605
2016-11-18,674418,4.68265
2016-11-19,366301,2.6077
2016-11-20,334696,2.4484
2016-11-21,673024,4.79986
2016-11-22,738666,5.18968
2016-11-23,722227,5.08027
2016-11-24,602010,4.46505
2016-11-25,559651,4.14129
2016-11-26,339155,2.72656
2016-11-27,327330,2.52041
2016-11-28,670714,4.85971
2016-11-29,724380,5.1197
2016-11-30,704949,4.93914
2016-12-01,681554,4.80144
2016-12-02,654751,4.60952
2016-12-03,349722,2.5232
2016-12-04,333245,2.43158
2016-12-05,661893,4.71363
2016-12-06,727571,5.12799
2016-12-07,747555,5.12186
2016-12-08,711482,4.9844
2016-12-09,754252,4.33379
2016-12-10,334942,2.46359
2016-12-11,323485,2.38004
2016-12-12,661189,4.74319
2016-12-13,706556,4.99971
2016-12-14,711465,5.02653
2016-12-15,671830,4.77545
2016-12-16,608539,4.34061
